time_to_expiry_hours,horizon_gap_bin,event_days,events,spread_diff_pm_minus_deribit_median,location_diff_median,l1_median
24.0,-8h,16,16,-0.009037503295458122,0.0011719710776492422,0.5731108540702807
24.0,+16h,11,11,0.006415884276266395,-0.0041696712233580705,0.32392413343728255
24.0,+40h,15,15,0.006549225243987822,-0.0005329237473667483,0.28940205288110715
48.0,-32h,10,10,-0.013174266234988536,0.003614185911477008,0.6553032860792523
48.0,-8h,13,13,0.002650683529374323,0.0017593583165772682,0.2673812437183138
48.0,+16h,9,9,0.009937565642997317,0.008488402485002685,0.2829247561464142
48.0,+40h,11,11,0.01038070904746572,0.0029589215225054094,0.25195680023797223
72.0,-32h,14,14,-0.003302566038312863,-0.0001066700732897483,0.3631265766672291
72.0,-8h,15,15,0.00357931064192233,-0.0029021024426460224,0.21127103924220042
72.0,+16h,9,9,0.009004928447173835,-0.0007820419478347775,0.1974930675757177
72.0,+40h,14,14,0.01297283102953442,0.001608128780085984,0.21469240410907853
96.0,-32h,14,14,0.0002907465317966637,0.0044515651766392226,0.2312740719711344
96.0,-8h,16,16,0.005484076150631123,-0.00020284224430327277,0.17439845190120723
96.0,+16h,10,10,0.011114565753361987,0.004031258703131901,0.15717198113253908
96.0,+40h,13,13,0.012520911653584668,0.004153845646593567,0.2092309371027245
120.0,-32h,12,12,0.0002830182508306543,0.0010503930083267743,0.2404783733871445
120.0,-8h,15,15,0.005086630981163853,-0.00257930668244611,0.2629441115942217
120.0,+16h,9,9,0.007998394590428462,-0.0015520742127292089,0.22168909230889616
120.0,+40h,12,12,0.008682979143102943,-0.0029818957705636403,0.24534680231338812
144.0,-32h,6,6,0.0010639797153140437,0.0028328725092653427,0.15452974643958117
144.0,-8h,6,6,0.0017903912205268699,0.0007134219684598077,0.14166862092975535
144.0,+16h,4,4,0.009440812403947497,0.00020219632718626742,0.18348522763180353
168.0,-32h,13,13,0.0021670503409851605,0.0016614210568905194,0.18658960812739056
168.0,-8h,13,13,0.0019756932245448278,4.226546134036835e-06,0.15667484536460963
192.0,-32h,14,14,0.004672959503653373,-0.0001614100559241574,0.18738693734992518
