spec,smooth_weight,term,coef,std_error_event_cluster,p_value,n_obs,n_events,r_squared,pm_wider_share,spread_diff_pm_minus_deribit_median
smooth005,0.05,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",-0.003585399888241121,0.0009777516491684159,0.0002454279150595555,296,61,0.4839461470080316,0.8108108108108109,0.006793639150129732
smooth005,0.05,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.0068967001697990155,0.0012948530344803724,1.00265717430019e-07,296,61,0.4839461470080316,0.8108108108108109,0.006793639150129732
smooth005,0.05,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.0094612107915058,0.0011747352380568643,8.019080163187113e-16,296,61,0.4839461470080316,0.8108108108108109,0.006793639150129732
smooth005,0.05,C(asset)[T.ETH],0.005662726648684481,0.0008445327339475162,2.0118655099352537e-11,296,61,0.4839461470080316,0.8108108108108109,0.006793639150129732
smooth005,0.05,time_to_expiry_days,0.00034616583955894423,0.0002938701298101044,0.2388144777211989,296,61,0.4839461470080316,0.8108108108108109,0.006793639150129732
baseline,0.1,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",-0.004104941262696034,0.0011069675777569457,0.0002086751689938479,294,61,0.468297794265668,0.7074829931972789,0.004022395905267009
baseline,0.1,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.006736784501489891,0.0014961592772305718,6.708962759435502e-06,294,61,0.468297794265668,0.7074829931972789,0.004022395905267009
baseline,0.1,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.00936687266785477,0.0013618801698822075,6.074220652877719e-12,294,61,0.468297794265668,0.7074829931972789,0.004022395905267009
baseline,0.1,C(asset)[T.ETH],0.005407221365697054,0.000987457628722106,4.3528815286548046e-08,294,61,0.468297794265668,0.7074829931972789,0.004022395905267009
baseline,0.1,time_to_expiry_days,0.0011258789358871805,0.00029775544466741376,0.0001560614856219102,294,61,0.468297794265668,0.7074829931972789,0.004022395905267009
smooth02,0.2,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",-0.005174939583825521,0.0014850046759233085,0.000492510856014656,293,61,0.42969631443361855,0.5255972696245734,0.0008425785906285496
smooth02,0.2,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.006458708435101247,0.001984132816648763,0.0011332072600957678,293,61,0.42969631443361855,0.5255972696245734,0.0008425785906285496
smooth02,0.2,"C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.008909102865782868,0.001734757029630651,2.8117229879838313e-07,293,61,0.42969631443361855,0.5255972696245734,0.0008425785906285496
smooth02,0.2,C(asset)[T.ETH],0.0044735865180309,0.0013273978860283882,0.0007511566534945343,293,61,0.42969631443361855,0.5255972696245734,0.0008425785906285496
smooth02,0.2,time_to_expiry_days,0.0018302105105931152,0.0003206663838999093,1.1463266132783949e-08,293,61,0.42969631443361855,0.5255972696245734,0.0008425785906285496
