model,formula,term,coef,std_error_event_cluster,t_stat,p_value,n_obs,n_events,r_squared
spread_continuous_tte,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",Intercept,-0.004181072434538609,0.0015629659600128567,-2.6750886081384757,0.007470950151061947,294,61,0.468297794265668
spread_continuous_tte,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",-0.004104941262696034,0.0011069675777569457,-3.7082759650593364,0.0002086751689938479,294,61,0.468297794265668
spread_continuous_tte,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.006736784501489891,0.0014961592772305718,4.502718797399598,6.708962759435502e-06,294,61,0.468297794265668
spread_continuous_tte,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.00936687266785477,0.0013618801698822075,6.877897831983951,6.074220652877719e-12,294,61,0.468297794265668
spread_continuous_tte,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",C(asset)[T.ETH],0.005407221365697054,0.000987457628722106,5.4759021637158005,4.3528815286548046e-08,294,61,0.468297794265668
spread_continuous_tte,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",time_to_expiry_days,0.0011258789358871805,0.00029775544466741376,3.7812203136864966,0.0001560614856219102,294,61,0.468297794265668
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",Intercept,-0.004194784964150694,0.001754540439590069,-2.3908169167823594,0.016810933545239496,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",-0.00491674106690664,0.001158763020406112,-4.243094558871466,2.204584871285496e-05,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.006483265183573696,0.0015358016317331413,4.221420950215672,2.427670922150797e-05,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.00907152854923924,0.001388670137488044,6.5325294354270955,6.466808183994497e-11,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.48.0],0.003016164435760362,0.0014963691492972516,2.015655319529182,0.0438360308028651,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.72.0],0.00454999412992052,0.0016719787190596941,2.721322991765945,0.006502119667620008,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.96.0],0.006541761243708467,0.0018213365209215917,3.591736710137648,0.00032848162603307,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.120.0],0.004483695018898492,0.001879208110824578,2.3859491628796192,0.017035105725443925,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.144.0],0.006610165560497747,0.0020178152327478232,3.275902299288397,0.0010532498966989029,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.168.0],0.0061985821731979284,0.002142413079032122,2.8932712528053934,0.003812518838161024,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(time_to_expiry_hours)[T.192.0],0.012803695689200392,0.002381791715466423,5.3756571601362975,7.630386146711587e-08,294,61,0.4995010230051724
spread_tte_fe,"spread_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + C(time_to_expiry_hours) + C(asset)",C(asset)[T.ETH],0.005383485200977432,0.0010144575175029986,5.306762587977489,1.1158936485609965e-07,294,61,0.4995010230051724
location_continuous_tte,"location_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",Intercept,0.0005717472741070362,0.002274732433953739,0.2513470444140437,0.8015458060808608,294,61,0.011227396280565793
location_continuous_tte,"location_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",0.0019850264008335478,0.0022676274353474733,0.8753758972445039,0.38136940989356083,294,61,0.011227396280565793
location_continuous_tte,"location_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.0021670782391324055,0.0033510020721788276,0.6466955831284722,0.5178289822754832,294,61,0.011227396280565793
location_continuous_tte,"location_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.0017159605556629686,0.0029270894526301308,0.5862344091059791,0.5577180015482053,294,61,0.011227396280565793
location_continuous_tte,"location_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",C(asset)[T.ETH],0.0019060721806545438,0.002226731702277547,0.8559954388330547,0.3920003023758175,294,61,0.011227396280565793
location_continuous_tte,"location_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",time_to_expiry_days,6.569668044157913e-05,0.0003898467563730646,0.1685192434401341,0.8661748060792505,294,61,0.011227396280565793
skew_continuous_tte,"skew_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",Intercept,-0.2139824131897603,0.1282943538418047,-1.6679020298400236,0.09533517667055132,294,61,0.02159149685676942
skew_continuous_tte,"skew_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.-32h]",0.017627280279335168,0.09304957864636813,0.18943965717810574,0.8497482452092722,294,61,0.02159149685676942
skew_continuous_tte,"skew_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+16h]",0.10599128431798535,0.14520413983289254,0.7299467111610239,0.4654227582950271,294,61,0.02159149685676942
skew_continuous_tte,"skew_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)","C(horizon_gap_bin, Treatment(reference='-8h'))[T.+40h]",0.1647560847220944,0.12052245308865356,1.3670156929257289,0.17162038671580537,294,61,0.02159149685676942
skew_continuous_tte,"skew_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",C(asset)[T.ETH],-0.02334447515432243,0.08970854852181649,-0.2602257592947813,0.7946896354978612,294,61,0.02159149685676942
skew_continuous_tte,"skew_diff_pm_minus_deribit ~ C(horizon_gap_bin, Treatment(reference='-8h')) + time_to_expiry_days + C(asset)",time_to_expiry_days,0.03293865833780314,0.021619652731464076,1.523551684522018,0.12762074037769977,294,61,0.02159149685676942
