event_id,date,left_edge_probability,right_edge_probability,edge_probability,n_state_intervals,state_lower_bound,state_upper_bound,asset,horizon_gap_bin,signed_gap_hours,time_to_expiry_hours,spread_diff_pm_minus_deribit
86290,2025-11-20,0.05338931176083359,0.00509938694433683,0.05848869870517042,18,1100.0,5850.0,ETH,-32h,-32.0,192.0,0.003553588620914122
86290,2025-11-21,0.025875957985238198,0.009170597836455022,0.03504655582169322,18,1100.0,5850.0,ETH,-32h,-32.0,168.0,0.006321878117903565
86285,2025-11-22,0.01789394562525995,0.012398208642957138,0.03029215426821709,18,35000.0,162000.0,BTC,-32h,-32.0,144.0,0.0036966542492352095
46231,2025-09-21,0.02888836067961805,5.432178468384339e-25,0.02888836067961805,23,1750.0,8400.0,ETH,-32h,-32.0,120.0,0.0003809387909328582
86988,2025-11-22,0.015474217914377282,0.012414378190732812,0.027888596105110096,18,35000.0,159000.0,BTC,-8h,-8.0,144.0,0.005753426697126231
87811,2025-11-22,0.015474217914377282,0.012414378190732812,0.027888596105110096,18,35000.0,159000.0,BTC,+16h,16.0,144.0,0.00864376100355669
86992,2025-11-21,0.018691590623431127,0.007602854777888814,0.026294445401319942,18,1100.0,5700.0,ETH,-8h,-8.0,168.0,0.005069229838967432
86290,2025-11-22,0.010567670183574617,0.014783636466055928,0.025351306649630544,18,1100.0,5850.0,ETH,-32h,-32.0,144.0,0.007705484341623062
217201,2026-02-19,0.009216758899012774,0.01578912025968922,0.02500587915870199,19,25000.0,132000.0,BTC,-32h,-32.0,192.0,0.008483209347223186
86992,2025-11-22,0.0078119705938833744,0.016310421942252486,0.02412239253613586,18,1100.0,5700.0,ETH,-8h,-8.0,144.0,0.013888134241751782
